"ringnr","y_obs","resid","F_hat"
"8118424",31.4,-0.592956658869227,-0.0149352670424751
"8118424",33.2,0.30658647996249,-0.0149352670424751
"8118424",33.2,0.80273799385629,-0.0149352670424751
"8118425",30.3,-0.0601774610847876,-0.0130852670424751
"8118425",30.3,-0.0601774610847876,-0.0130852670424751
"8118425",29.1,-1.63454413761141,-0.0130852670424751
"8118426",32.8,-0.716222638399799,0.0800347329575249
"8118426",35,1.979928875494,0.0800347329575249
"8118426",33.5,0.358153139062942,0.0800347329575249
"8118426",33.5,0.358153139062942,0.0800347329575249
"8118426",33.5,0.358153139062942,0.0800347329575249
"8118426",31.6,-1.01576577723151,0.0800347329575249
"8118429",31.3,-0.0496711520343958,0.00340473295752491
"8118430",29.9,-0.712586423053249,-0.0306902670424751
"8118430",29.9,-0.712586423053249,-0.0306902670424751
"8118432",30.4,-0.968740550484146,0.0413247329575249
"8118432",33.4,1.13080258834757,0.0413247329575249
"8118433",28.5,-1.63658870528096,0.0541347329575249
"8118435",27.6,-1.96548425172253,-0.00553526704247509
"8118435",30.1,0.00843466457193287,-0.00553526704247509
"8168602",32.2,-1.05238751000892,0.0573347329575249
"8168602",34.9,2.54806935115936,0.0573347329575249
"8168603",32.2,-0.0119185078953095,0.00223473295752491
"8168603",31.7,0.388538353272974,0.00223473295752491
"8168605",30.1,-0.5526400715835,0.0314547329575249
"8168605",29.8,-0.852640071583501,0.0314547329575249
"8168606",33.3,1.13973446484404,0.0223247329575249
"8168606",31.3,-0.860265535155957,0.0223247329575249
"8168613",30.9,-0.360165209223254,-0.0549252670424751
"8168614",31.4,-0.0904887886654038,0.127634732957525
"8168615",29.4,-1.14510751944508,0.00246473295752491
"8168617",34,1.40939254619035,0.00185473295752491
"8168632",28.3,-1.48808094001646,-0.0200952670424751
"8168635",30.2,-1.07155617769832,-0.0353722670424751
"8168636",32,-0.137384758156536,-0.0359192670424751
"8168638",35.9,1.17397249165794,-0.0138252670424751
"8168638",33.3,-0.52557064717378,-0.0138252670424751
"8168638",34,0.174429352826223,-0.0138252670424751
"8168638",34.7,-0.0260184074059424,-0.0138252670424751
"8168638",35.3,1.47442935282622,-0.0138252670424751
"8168639",34.3,2.71938736683239,-0.00876526704247509
"8168639",27.6,-3.48446111927381,-0.00876526704247509
"8168642",27.2,-2.35283090287874,-0.0606452670424751
"8168644",28.5,-1.64859544708722,-0.0755852670424751
"8168648",31.2,-0.677969253285223,-0.0536052670424751
"8168648",31.3,0.322487607883058,-0.0536052670424751
"8168649",35.9,1.91742445314054,0.00488473295752491
"8168650",32.7,-0.774542827313176,-0.0354202670424751
"8168650",35.1,1.99983295014956,-0.0354202670424751
"8168655",32.9,0.309231025958994,-0.00820526704247509
"8168658",31,-0.466090905874253,-0.0463782670424751
"8168660",32.8,0.463530740529976,-0.0128852670424751
"8168661",30.6,-0.652587726938155,-0.0237952670424751
"8168662",34.3,1.3240229479764,0.00895473295752491
"8168665",29.3,-1.49857428662063,-0.0287552670424751
"8168693",32,-0.122996207906077,-0.00771526704247509
"8168698",31.5,-0.202735476195137,-0.0395216670424751
"8168702",29,-1.82536417742816,-0.0414412670424751
"8168702",30.8,0.875092683740121,-0.0414412670424751
"8168702",29.4,-0.524907316259881,-0.0414412670424751
"8168709",32,0.52478265343008,-0.0227352670424751
"8168709",32.6,1.49915843089283,-0.0227352670424751
"8168709",28.8,-2.17906583267612,-0.0227352670424751
"8168709",30,-0.574760485401633,-0.0227352670424751
"8168768",30.2,-0.797010344299597,-0.0279652670424751
"8168769",30.5,-0.674359281292016,-0.0390567670424751
"8168769",32.2,0.621335371433499,-0.0390567670424751
"8168771",29.8,-1.14725795344216,-0.0694152670424751
"8168772",30.5,-0.745445011184181,-0.0709052670424751
"8309128",32.9,1.97982410902866,-0.0414972670424751
"8309128",32.9,1.97982410902866,-0.0414972670424751
"8309128",30.4,-0.894542567497968,-0.0414972670424751
"8309128",27.9,-2.97485689184954,-0.0414972670424751
"8309128",30.2,-1.17100840574334,-0.0414972670424751
"8309135",30.3,-0.747124670825443,-0.0355352670424751
"8309141",29.6,-0.424552022446139,-0.0232952670424751
"8309141",30.7,1.2015290612594,-0.0232952670424751
"8309141",30.4,0.375447977553858,-0.0232952670424751
"8309141",28.4,-1.50277628601509,-0.0232952670424751
"8309141",29.5,-0.524552022446141,-0.0232952670424751
"8309141",29.5,-0.524552022446141,-0.0232952670424751
"8309141",29.5,-0.524552022446141,-0.0232952670424751
"8309141",30.3,-0.0989186989727706,-0.0232952670424751
"8309143",29.5,-1.24179547229252,-0.0207452670424751
"8309143",31.2,0.0838378511808493,-0.0207452670424751
"8309146",30.3,-0.335596497612666,0.00355473295752491
"8309146",30.5,-0.135596497612667,0.00355473295752491
"8309146",30.3,-0.709963174139293,0.00355473295752491
"8309155",30,-0.267049141279426,0.0203447329575249
"8309155",29.1,-1.54141581780605,0.0203447329575249
"8309156",34.9,1.59805783634756,0.000204732957524913
"8309156",34.5,0.701915423389877,0.000204732957524913
"8309156",34.1,0.301906322453767,0.000204732957524913
"8309156",32.9,-0.898093677546235,0.000204732957524913
"8309156",33.4,-0.398093677546235,0.000204732957524913
"8309158",34.4,2.75112659102557,0.00791473295752491
"8309158",32,-0.5493211692066,0.00791473295752491
"8309158",31.5,-0.674954492679966,0.00791473295752491
"8309158",31.5,-0.674954492679966,0.00791473295752491
"8309158",31.5,-0.674954492679966,0.00791473295752491
"8309159",32.3,0.471234525887386,-0.0199652670424751
"8309164",33.3,0.740136838657847,0.0329547329575249
"8309164",33.3,0.740136838657847,0.0329547329575249
"8309164",31.3,-1.63422983786878,0.0329547329575249
"8309164",35.2,2.26576106119511,0.0329547329575249
"8309164",32.7,-0.234238938804886,0.0329547329575249
"8309164",32.3,-0.63422983786878,0.0329547329575249
