"ringnr","y_obs","resid","F_hat"
"8N87338",19.36,-0.0768985252456531,0.0383436802094571
"8N87338",19.45,-0.0653034250055065,0.0383436802094571
"8N87338",19.49,-0.0253034250055073,0.0383436802094571
"8N87338",19.53,0.0146965749944954,0.0383436802094571
"8N87338",19.61,0.0946965749944937,0.0383436802094571
"8N87338",19.7,0.162238863115768,0.0383436802094571
"8N87338",19.3,-0.280945612158003,0.0383436802094571
"8N87339",18.8,-0.0160229961856366,0.0106536802094571
"8N87342",18.85,-0.0251793984523694,0.00593368020945709
"8N87351",18.39,-0.0767050634499213,-0.0130463197905429
"8N87351",18.45,0.0264794118238498,-0.0130463197905429
"8N87352",18,-0.039208767473756,-0.00708631979054291
"8N87352",17.99,-0.0233941308483914,-0.00708631979054291
"8N87353",19.39,-0.000197754706647402,0.0253036802094571
"8N87353",19.43,-0.0788770248006614,0.0253036802094571
"8N87353",19.46,0.0951700621116913,0.0253036802094571
"8N87353",19.46,-0.0056925495268878,0.0253036802094571
"8N87358",19.15,-0.00719580114878937,-0.0253263197905429
"8N87362",18.62,0.0167671433466694,0.0879036802094571
"8N87362",18.62,-0.048875043805829,0.0879036802094571
"8N87363",19.9,0.200762730778429,0.0151236802094571
"8N87363",19.46,-0.155877481663754,0.0151236802094571
"8N87363",19.62,-0.0399281098215489,0.0151236802094571
"8N87368",18.73,-0.0266777386726673,-0.0397575197905429
"8N87369",20.01,0.0334928791859994,0.0161136802094571
"8N87371",19.47,0.00378857367410745,-0.0259363197905429
"8N87372",19.28,-0.0273354533720074,0.0537836802094571
"8N87372",19.26,0.0281593414482337,0.0537836802094571
"8N87387",19.35,0.00139853227995701,0.00543368020945709
"8N87483",19.91,0.0431555116350353,0.00817368020945709
"8N87483",19.89,-0.0186079208444241,0.00817368020945709
"8N87483",19.91,0.00139207915557549,0.00817368020945709
"8N87513",20.19,0.0259538364594789,0.0164336802094571
"8N87514",20.92,0.14697827783187,0.0276836802094571
"8N87514",20.68,-0.0930217221681318,0.0276836802094571
"8N87515",19.88,-0.102195638282254,0.0151136802094571
"8N87515",20.1,0.117804361717749,0.0151136802094571
"8N87516",20.47,0.037978279918125,-0.0139963197905429
"8N87517",20.68,0.0471241749173501,-0.0320373197905429
"8N87518",20.72,0.0688182422893604,0.0110136802094571
"8N87518",20.63,-0.0211817577106395,0.0110136802094571
"8N87519",20.82,0.0581182897072061,-0.00395631979054291
"8N87520",17.89,-0.0759314007373391,0.00626368020945709
"8N87521",19.48,-0.00772108896480006,-0.0257663197905429
"8N87522",18.5,-0.0482307962871786,-0.00363631979054291
"8N87523",19.98,0.0196863287242586,-0.00107631979054291
"8N87524",20.01,0.00498737444488384,-0.0113863197905429
"8N87524",20.02,0.0149873744448819,-0.0113863197905429
"8N87525",20.15,0.0284340588837111,0.0346936802094571
"8N87526",18.87,0.0276126626985622,0.0283336802094571
"8N87526",18.78,-0.0623873373014376,0.0283336802094571
"8N87527",20.01,0.0710795728586149,0.00471368020945709
"8N87527",19.79,-0.148920427141388,0.00471368020945709
"8N87527",20.03,0.0910795728586145,0.00471368020945709
"8N87528",19.32,-0.0108416330534062,-0.0112363197905429
"8N87529",19.27,-0.0124836724545538,0.0131336802094571
"8N87530",20.05,0.0184774040961777,-0.0215063197905429
"8N87530",20.03,-0.00152259590382187,-0.0215063197905429
"8N87531",20.88,0.0614699805249153,0.0185736802094571
"8N87532",19.59,0.00154713188075917,-0.0108263197905429
"8N87533",20.21,0.0762967130197296,0.00457368020945709
"8N87533",20.08,-0.0537032869802729,0.00457368020945709
"8N87534",18.91,-0.0295351475373344,-0.00739631979054291
"8N87535",19.03,-0.0239821352240988,-0.00545631979054291
"8N87536",19.1,-0.0210494564456987,-0.0158163197905429
"8N87537",19.01,0.128574734085433,-0.0209063197905429
"8N87537",18.83,-0.0514252659145704,-0.0209063197905429
"8N87537",18.77,-0.111425265914569,-0.0209063197905429
"8N87538",18.74,-0.0415401238370521,-0.0218163197905429
"8N87539",20.65,0.0462581767057131,-0.0129463197905429
"8N87540",18.91,-0.029293975490198,0.00164368020945709
"8N87541",19.07,-0.0444097839489004,-0.0261863197905429
"8N87541",19.08,-0.0344097839489024,-0.0261863197905429
"8N87541",19.17,0.055590216051101,-0.0261863197905429
"8N87542",19.37,-0.00911558361061537,-0.0324573197905429
"8N87543",19.65,0.00403097682530529,-0.0208263197905429
"8N87544",19.96,0.0143826462935301,-0.0220663197905429
"8N87545",20.37,0.0370382482324807,-0.0208363197905429
"8N87546",19.38,-0.00782902373116912,-0.00141631979054291
"8N87547",20.94,0.0590549286742679,-0.0316113197905429
"8N87548",19.95,0.0505864652976094,0.0196936802094571
"8N87548",19.93,0.0305864652976098,0.0196936802094571
"8N87548",19.83,-0.0694135347023916,0.0196936802094571
"8N87549",19.92,0.0163519788170241,-0.0229563197905429
"8N87550",19.85,0.0105102060239162,0.0218036802094571
"8N87551",20.4,0.0344194608801729,-0.0271063197905429
"8N87552",20.4,0.0389145812446792,-0.00205631979054291
"8N87553",18.73,-0.0704100606777374,0.0276936802094571
"8N87553",18.83,0.0295899393222605,0.0276936802094571
"8N87554",19.01,-0.0249814473054855,-0.00854631979054291
"8N87555",20.02,0.0169894783107907,-0.0274563197905429
"8N87556",19.98,0.00527465744340105,0.00502368020945709
"8N87556",19.99,0.0152746574433991,0.00502368020945709
"8N87557",19.55,-0.0574670830103763,0.105503680209457
"8N87557",19.67,0.0625329169896247,0.105503680209457
"8N87557",19.57,-0.0374670830103767,0.105503680209457
"8N87557",19.64,0.0325329169896236,0.105503680209457
"8N87558",19.4,-0.0207740328763535,-0.0190963197905429
"8N87558",19.42,-0.000774032876350361,-0.0190963197905429
"8N87558",19.43,0.00922596712364765,-0.0190963197905429
"8N87559",19.57,0.0348801423423737,0.0169136802094571
"8N87559",19.5,-0.0351198576576266,0.0169136802094571
"8N87560",18.17,-0.00031688550705411,-0.0120363197905429
"8N87560",18.1,-0.0703168855070544,-0.0120363197905429
"8N87561",19.13,0.0148582997599114,0.0217336802094571
"8N87561",19.08,-0.0351417002400893,0.0217336802094571
"8N87562",16.59,-0.140285979762933,-0.0286263197905429
"8N87563",18.85,-0.0344534659774602,-0.00920631979054291
"8N87563",18.98,0.0955465340225388,-0.00920631979054291
"8N87563",18.76,-0.12445346597746,-0.00920631979054291
