8118424	8118424
8118425	8118425
8118426	8118426
8118429	8118429
8118430	8118430
8118432	8118432
8118433	8118433
8118435	8118435
8168602	8168602
8168603	8168603
8168605	8168605
8168606	8168606
8168613	8168613
8168614	8168614
8168615	8168615
8168617	8168617
8168632	8168632
8168635	8168635
8168636	8168636
8168638	8168638
8168639	8168639
8168642	8168642
8168644	8168644
8168648	8168648
8168649	8168649
8168650	8168650
8168655	8168655
8168658	8168658
8168660	8168660
8168661	8168661
8168662	8168662
8168665	8168665
8168692	8168692
8168693	8168693
8168698	8168698
8168702	8168702
8168709	8168709
8168768	8168768
8168769	8168769
8168771	8168771
8168772	8168772
8309128	8309128
8309135	8309135
8309141	8309141
8309143	8309143
8309146	8309146
8309155	8309155
8309156	8309156
8309158	8309158
8309159	8309159
8309164	8309164
8309165	8309165
8309171	8309171
8309173	8309173
8309175	8309175
8309182	8309182
8309183	8309183
8309190	8309190
8309191	8309191
8309195	8309195
8309197	8309197
8309218	8309218
8309231	8309231
8309251	8309251
8309252	8309252
8309254	8309254
8309260	8309260
8309263	8309263
8309266	8309266
8309267	8309267
8309269	8309269
8309272	8309272
8309274	8309274
8309277	8309277
8309283	8309283
8309285	8309285
8309287	8309287
8309288	8309288
8309291	8309291
8309298	8309298
8414501	8414501
8414527	8414527
8414806	8414806
8414812	8414812
8537612	8537612
8537652	8537652
8537699	8537699
8537700	8537700
8537728	8537728
8537761	8537761
8537770	8537770
8537774	8537774
8573156	8573156
8573187	8573187
8573221	8573221
8573281	8573281
8573515	8573515
8573521	8573521
8573567	8573567
8573572	8573572
8573603	8573603
8573606	8573606
8573608	8573608
8573682	8573682
8573683	8573683
8573752	8573752
8573815	8573815
8573856	8573856
8573864	8573864
8573872	8573872
8573874	8573874
8573896	8573896
8573915	8573915
8573966	8573966
8573989	8573989
8598501	8598501
8598568	8598568
8598579	8598579
8598591	8598591
8598592	8598592
8598599	8598599
8598602	8598602
8598614	8598614
8598631	8598631
8598728	8598728
8598790	8598790
8598849	8598849
8598887	8598887
8598907	8598907
8651511	8651511
8651512	8651512
8651514	8651514
8651515	8651515
8651522	8651522
8651524	8651524
8651525	8651525
8651534	8651534
8651539	8651539
8651543	8651543
8651548	8651548
