"ringnr","O_HOM","E_HOM","N_SITES","F_hat"
"8L19505",44067,43360,64834,-0.00705631979054291
"8L19506",44087,43350,64820,-0.00578631979054291
"8L19540",44095,43350,64815,-0.00530631979054291
"8L19549",44186,43310,64748,0.00115368020945709
"8L19556",43780,43350,64810,-0.0197563197905429
"8L19559",44076,43350,64812,-0.00610631979054291
"8L19568",44237,43210,64595,0.00833368020945709
"8L19569",42974,42780,63956,-0.0306763197905429
"8L19578",43550,43320,64775,-0.0293863197905429
"8L19595",44188,43350,64819,-0.00107631979054291
"8L19596",44658,43340,64804,0.0213936802094571
"8L19610",45563,43330,64780,0.0643036802094571
"8L19624",45131,43350,64814,0.0431236802094571
"8L19633",43692,42950,64210,-0.00495631979054291
"8L19656",44011,43350,64817,-0.00928631979054291
"8L19661",43755,43220,64624,-0.0150463197905429
"8L19663",44297,43330,64784,0.00518368020945709
"8L19666",44039,43050,64376,0.00629368020945709
"8L19688",43223,43290,64730,-0.0431643197905429
"8L19693",43196,43190,64576,-0.0397099197905429
"8L19722",44143,43340,64786,-0.00224631979054291
"8L19728",43974,43350,64809,-0.0106263197905429
"8L19729",44581,43350,64809,0.0175136802094571
"8L19813",43561,43050,64365,-0.0160563197905429
"8L19825",44045,43360,64823,-0.00779631979054291
"8L19830",44077,43350,64814,-0.00609631979054291
"8L19835",43318,43370,64850,-0.0424733197905429
"8L19839",43933,43340,64795,-0.0121563197905429
"8L19856",44190,43320,64762,0.000793680209457089
"8L19858",42695,43330,64789,-0.0694663197905429
"8L19860",43497,43350,64814,-0.0330953197905429
"8L19862",43786,43300,64730,-0.0170863197905429
"8L19877",42450,42220,63111,-0.0287663197905429
"8L19899",46304,43290,64718,0.100803680209457
"8L19900",43883,43320,64765,-0.0135863197905429
"8L19912",43865,43270,64690,-0.0119363197905429
"8L19917",43267,43250,64659,-0.0389358197905429
"8L19919",44184,43370,64843,-0.00194631979054291
"8L19920",41712,42050,62894,-0.0559863197905429
"8L19921",43082,42900,64127,-0.0311143197905429
"8L19922",44848,43330,64786,0.0307236802094571
"8L19928",45093,42750,63914,0.0709036802094571
"8L19926",43575,43060,64376,-0.0158463197905429
"8L19930",43746,43320,64779,-0.0202463197905429
"8L19931",47658,43200,64575,0.168603680209457
"8L19932",43733,43370,64848,-0.0230963197905429
"8L19934",44168,43190,64587,0.00559368020945709
"8L19936",43754,43320,64765,-0.0195063197905429
"8L19937",44347,43360,64831,0.00594368020945709
"8L19944",44107,43330,64787,-0.00382631979054291
"8L19951",44129,43360,64824,-0.00392631979054291
"8L19952",43755,43360,64822,-0.0212863197905429
"8L19953",45146,43340,64791,0.0443936802094571
"8L19958",45996,43370,64842,0.0826036802094571
"8L19960",43630,43140,64478,-0.0170663197905429
"8L19961",46071,43350,64822,0.0867036802094571
"8L19969",42167,42190,63073,-0.0412133197905429
"8L19974",42080,41940,62698,-0.0333753197905429
"8L19977",43849,43250,64663,-0.0120463197905429
"8L19979",48876,43040,64353,0.233803680209457
"8L19986",43786,43260,64684,-0.0155363197905429
"8L19987",44404,43300,64742,0.0114536802094571
"8L19988",44531,43330,64790,0.0160436802094571
"8L19991",43921,43350,64807,-0.0131263197905429
"8L19992",43933,43340,64797,-0.0123063197905429
"8L19995",43960,43350,64816,-0.0115863197905429
"8L19998",44114,43350,64811,-0.00431631979054291
"8L26526",43995,43350,64818,-0.0100063197905429
"8L26528",43971,43350,64807,-0.0108063197905429
"8L26538",44579,43350,64818,0.0172336802094571
"8L26576",43860,43290,64719,-0.0133663197905429
"8L26578",44457,43330,64778,0.0127836802094571
"8L26579",44684,43320,64768,0.0237936802094571
"8L26581",43874,43350,64816,-0.0155563197905429
"8L26582",44105,43360,64833,-0.00531631979054291
"8L26586",44074,43350,64812,-0.00614631979054291
"8L26587",43933,43340,64789,-0.0120563197905429
"8L26591",44164,43360,64828,-0.00244631979054291
"8L26595",44532,43330,64789,0.0160436802094571
"8L26596",44062,43350,64816,-0.00682631979054291
"8L26597",44057,43350,64807,-0.00674631979054291
"8L30001",44053,43190,64572,0.00034368020945709
"8L30059",43391,43320,64772,-0.0367413197905429
"8L30090",44214,43310,64753,0.00225368020945709
"8L30124",43301,43300,64730,-0.0396665197905429
"8L30154",43390,43120,64484,-0.0274363197905429
"8L30162",43998,43300,64747,-0.00754631979054291
"8L30164",43835,43320,64770,-0.0158763197905429
"8L30167",43946,43260,64674,-0.00770631979054291
"8L30168",45491,43330,64781,0.0610036802094571
"8L30180",44359,43320,64776,0.00843368020945709
"8L30185",44397,43310,64760,0.0107836802094571
"8L30212",43944,43340,64792,-0.0115863197905429
"8L30249",44618,43360,64824,0.0189136802094571
"8L30260",43466,43210,64601,-0.0278963197905429
"8L30286",43708,43240,64657,-0.0180963197905429
"8L30289",44247,43360,64827,0.00150368020945709
"8L30298",43845,43360,64825,-0.0172363197905429
"8L30300",43480,43370,64836,-0.0345633197905429
"8L30320",43999,43340,64797,-0.00913631979054291
"8L30340",45792,43300,64738,0.0763036802094571
"8L30352",43905,43150,64513,-0.00439631979054291
"8L30354",44486,43330,64785,0.0139636802094571
"8L30355",44904,43350,64815,0.0325236802094571
"8L30363",44088,43340,64800,-0.00507631979054291
"8L30372",47789,43190,64568,0.175403680209457
"8L30388",44047,43360,64824,-0.00778631979054291
"8L30396",43950,43360,64835,-0.0125763197905429
"8L30416",43921,43340,64803,-0.0129563197905429
"8L30418",44853,43360,64834,0.0294936802094571
"8L30432",44433,43330,64776,0.0116336802094571
"8L30444",46366,43330,64789,0.101403680209457
"8L30445",44007,43320,64770,-0.00792631979054291
"8L30446",43915,43340,64802,-0.0133163197905429
"8L30449",44309,43330,64778,0.00585368020945709
"8L30451",44620,43340,64802,0.0196436802094571
"8L30459",43951,43340,64803,-0.0114963197905429
"8L30467",43590,43340,64812,-0.0284463197905429
"8L30468",43715,43280,64712,-0.0196463197905429
"8L30473",43729,43300,64739,-0.0197563197905429
"8L30485",44059,43220,64621,-0.000726319790542905
"8L30487",44143,43350,64821,-0.00306631979054291
"8L30499",43478,43060,64367,-0.0201863197905429
"8L30500",42856,43350,64816,-0.0630863197905429
"8L30591",43626,43360,64828,-0.0274763197905429
"8L30596",42986,42330,63276,-0.00854631979054291
"8L30597",44446,43360,64831,0.0105836802094571
"8L30598",44124,43320,64770,-0.00251631979054291
"8L30599",44405,43350,64811,0.00936368020945709
"8L30604",43878,43310,64751,-0.0133063197905429
"8L30631",45944,43260,64683,0.0853036802094571
"8L30633",43531,43180,64534,-0.0234363197905429
"8L30634",43202,42780,63952,-0.0200363197905429
"8L30641",44436,43190,64571,0.0183736802094571
"8L30667",43443,43290,64718,-0.0326873197905429
"8L30695",43623,43330,64790,-0.0262463197905429
"8L30696",44289,43340,64798,0.00449368020945709
"8L30697",43345,43030,64326,-0.0250963197905429
"8L30698",43066,42970,64196,-0.0354633197905429
"8L30709",45515,43330,64787,0.0620036802094571
"8L30712",43487,43130,64488,-0.0233963197905429
"8L30724",45393,43300,64749,0.0575136802094571
"8L30748",43996,43350,64819,-0.00985631979054291
"8L30750",43694,43310,64756,-0.0219663197905429
"8L30752",43860,43350,64824,-0.0163463197905429
"8L30753",43955,43360,64827,-0.0120663197905429
"8L30757",43691,43320,64766,-0.0224963197905429
"8L30758",44990,43340,64795,0.0371836802094571
"8L30759",43740,43330,64782,-0.0207163197905429
"8L30760",43680,43340,64798,-0.0239063197905429
"8L30761",43181,42920,64160,-0.0274063197905429
"8L30762",43871,43340,64799,-0.0150863197905429
"8L30763",44624,43330,64788,0.0204736802094571
"8L30764",44705,43190,64575,0.0307336802094571
"8L30765",46030,43250,64671,0.0898036802094571
"8L30766",44000,43350,64813,-0.00939631979054291
"8L30767",43233,43300,64741,-0.0429723197905429
"8L30768",43651,43350,64812,-0.0257163197905429
"8L30770",43910,43350,64815,-0.0137663197905429
"8L30771",43806,43360,64828,-0.0190663197905429
"8L30772",43626,43350,64809,-0.0268863197905429
"8L30777",44417,43350,64810,0.00999368020945709
"8L30778",43964,43250,64664,-0.00668631979054291
"8L30779",44937,43290,64718,0.0371236802094571
"8L30780",44517,43370,64843,0.0135036802094571
"8L30781",46736,43300,64740,0.120503680209457
"8L30782",44420,43350,64815,0.00988368020945709
"8L30783",44415,43350,64815,0.00970368020945709
"8L30784",43861,43310,64755,-0.0141863197905429
"8L30807",44001,43350,64811,-0.00949631979054291
"8L30809",44131,43300,64739,-0.00108631979054291
"8L30813",47190,43300,64740,0.141503680209457
"8L30819",43844,43320,64769,-0.0154663197905429
"8L30829",44113,43330,64784,-0.00337631979054291
"8L30832",43481,43160,64535,-0.0250163197905429
"8L30847",43794,43330,64790,-0.0183663197905429
"8L30848",43711,43330,64793,-0.0223763197905429
"8L30851",43753,43240,64646,-0.0161463197905429
"8L30859",44822,43320,64767,0.0301636802094571
"8L30876",44940,43330,64786,0.0351536802094571
"8L30882",43769,43340,64793,-0.0197763197905429
"8L30890",44662,43210,64581,0.0281336802094571
"8L30898",44767,43350,64816,0.0260536802094571
"8L30899",43512,43360,64829,-0.0327403197905429
"8L30900",43892,43360,64828,-0.0150763197905429
"8L30917",46588,43240,64658,0.116303680209457
"8L30920",44793,43330,64790,0.0280836802094571
"8L30922",44965,43340,64792,0.0359636802094571
"8L30947",43279,43340,64789,-0.0425283197905429
"8L30963",43221,43230,64624,-0.0401498197905429
"8L30972",44402,43290,64716,0.0120536802094571
"8L30984",47233,43260,64686,0.145403680209457
"8L48304",43022,43230,64628,-0.0496433197905429
"8L48310",44057,43360,64827,-0.00739631979054291
"8L48311",43648,43240,64651,-0.0208963197905429
"8L48312",44113,43370,64847,-0.00543631979054291
"8L48313",43435,43330,64772,-0.0348923197905429
"8L48314",44284,43370,64836,0.00287368020945709
"8L48315",44157,43350,64808,-0.00221631979054291
"8L48318",44403,43380,64851,0.00795368020945709
"8L48319",43673,43080,64411,-0.0122863197905429
"8L48320",44000,43200,64582,-0.00231631979054291
"8L48323",44729,43340,64797,0.0248236802094571
"8L48334",46202,43300,64736,0.0955036802094571
"8L48336",43523,43310,64747,-0.0297963197905429
"8L48344",43742,43280,64708,-0.0185063197905429
"8L48365",44283,43360,64825,0.00310368020945709
"8L48399",44456,43330,64787,0.0124336802094571
"8L48410",44400,43350,64808,0.00925368020945709
"8L48415",43841,43330,64779,-0.0159063197905429
"8L48418",44512,43360,64834,0.0136536802094571
"8L48421",44590,43320,64775,0.0191136802094571
"8L48425",43942,43300,64740,-0.0101663197905429
"8L48435",44720,43300,64731,0.0265536802094571
"8L48438",44193,43250,64655,0.00428368020945709
"8L48440",44267,43370,64844,0.00188368020945709
"8L48443",44020,43360,64825,-0.00902631979054291
"8L48446",44190,43350,64822,-0.000936319790542907
"8L48448",46160,43330,64782,0.0921036802094571
"8L48450",43911,43370,64844,-0.0145963197905429
"8L48451",44031,43280,64709,-0.00502631979054291
"8L48452",45154,43380,64850,0.0429136802094571
"8L48454",44241,43360,64822,0.00127368020945709
"8L48455",46479,43360,64825,0.105503680209457
"8L48457",44122,43370,64847,-0.00490631979054291
"8L48459",43704,43370,64840,-0.0241563197905429
"8L48461",47575,43290,64732,0.159903680209457
"8L48463",43904,43380,64866,-0.0157163197905429
"8L48467",44521,43370,64853,0.0135436802094571
"8L48473",46921,43160,64528,0.136103680209457
"8L48474",43753,43100,64432,-0.00910631979054291
"8L48476",43821,43110,64454,-0.00642631979054291
"8L48478",43747,42900,64158,-0.000146319790542908
"8L48479",44158,43220,64625,0.00388368020945709
"8L48480",42472,42490,63555,-0.0408479197905429
"8L48501",44802,43360,64832,0.0271736802094571
"8L48555",43568,43340,64791,-0.0291463197905429
"8L48565",43478,43340,64796,-0.0335183197905429
"8L48566",45893,43280,64713,0.0819036802094571
"8L48567",44041,43350,64808,-0.00754631979054291
"8L48568",43877,43340,64798,-0.0148963197905429
"8L48574",43416,42950,64195,-0.0177463197905429
"8L48578",44272,43200,64609,0.0100336802094571
"8L48592",43586,43170,64513,-0.0202963197905429
"8L48597",45301,43320,64773,0.0522936802094571
"8L48598",43584,43340,64802,-0.0285063197905429
"8L48602",43994,43360,64828,-0.0104363197905429
"8L48607",44390,43330,64781,0.00960368020945709
"8L48608",44577,43310,64760,0.0191936802094571
"8L48609",44440,43330,64785,0.0118536802094571
"8L48610",44089,43370,64848,-0.00654631979054291
"8L48611",43731,43360,64826,-0.0225663197905429
"8L48651",43901,43350,64822,-0.0144563197905429
"8L48661",43982,43330,64789,-0.00964631979054291
"8L48662",43892,43330,64787,-0.0139163197905429
"8L48691",45189,43310,64751,0.0476836802094571
"8L48692",44430,43360,64826,0.0100336802094571
"8L48694",45818,43300,64746,0.0774036802094571
"8L48735",43366,43360,64829,-0.0396337197905429
"8L48738",43657,43360,64830,-0.0260363197905429
"8L48742",43669,43350,64816,-0.0250163197905429
"8L48744",44199,43340,64805,2.36802094570887e-05
"8L48745",43299,43190,64572,-0.0348213197905429
"8L48746",43801,43290,64722,-0.0158863197905429
"8L48750",43276,43160,64531,-0.0346033197905429
"8L48752",43568,43310,64749,-0.0276863197905429
"8L48754",43256,43100,64438,-0.0325313197905429
"8L48755",43928,43330,64795,-0.0121663197905429
"8L48756",43277,43340,64797,-0.0426923197905429
"8L48757",43349,43240,64646,-0.0348563197905429
"8L48759",46719,43300,64742,0.119603680209457
"8L48761",44552,43180,64571,0.0241736802094571
"8L48763",44321,43330,64794,0.00610368020945709
"8L48764",45549,43350,64810,0.0627036802094571
"8L48765",44128,43350,64822,-0.00376631979054291
"8L48766",43780,43290,64722,-0.0168263197905429
"8L48767",43461,43350,64813,-0.0346003197905429
"8L48768",43847,43280,64708,-0.0133563197905429
"8L48780",43837,43360,64830,-0.0176763197905429
"8L48781",43766,43330,64786,-0.0195663197905429
"8L48785",43468,43260,64685,-0.0302733197905429
"8L48789",43904,43340,64808,-0.0138163197905429
"8L49909",46256,42920,64188,0.117003680209457
"8L49910",43907,43310,64751,-0.0119663197905429
"8L49930",43996,43370,64838,-0.0106463197905429
"8L49934",44303,43340,64789,0.00521368020945709
"8L49938",44058,43360,64835,-0.00755631979054291
"8L49957",42396,42240,63172,-0.0323973197905429
"8L49963",43750,43270,64696,-0.0174563197905429
"8L49974",44015,43370,64838,-0.00968631979054291
"8L49991",44003,43330,64787,-0.00870631979054291
"8L52202",44208,43340,64799,0.000673680209457093
"8L52203",43667,43360,64826,-0.0254363197905429
"8L52204",43404,43310,64757,-0.0357403197905429
"8L52205",43750,43280,64703,-0.0177463197905429
"8L52206",43721,43220,64630,-0.0166063197905429
"8L52207",44723,43270,64694,0.0278036802094571
"8L52209",44331,42550,63641,0.0446036802094571
"8L52210",46285,42310,63272,0.149803680209457
"8L52211",43930,43340,64801,-0.0124563197905429
"8L52212",44199,43360,64824,-0.000626319790542909
"8L52221",43857,43310,64759,-0.0146163197905429
"8L52223",44112,43270,64694,-0.000566319790542912
"8L52224",43903,43310,64756,-0.0123963197905429
"8L52228",44062,43320,64766,-0.00515631979054291
"8L52229",44395,43330,64781,0.00982368020945709
"8L52230",44659,43310,64759,0.0228936802094571
"8L52231",43780,43150,64516,-0.0104863197905429
"8L52241",43410,43320,64768,-0.0357083197905429
"8L52243",43196,43280,64711,-0.0439033197905429
"8L52249",44085,43370,64840,-0.00643631979054291
"8L52284",44354,43360,64824,0.00639368020945709
"8L52303",43987,43270,64689,-0.00642631979054291
"8L52305",44751,43360,64826,0.0249536802094571
"8L52308",44918,43240,64655,0.0383036802094571
"8L52310",45495,43340,64795,0.0607036802094571
"8L52313",43738,43360,64831,-0.0223163197905429
"8L52315",44130,43350,64823,-0.00378631979054291
"8L52320",43408,43330,64793,-0.0363853197905429
"8L52321",43128,43360,64832,-0.0507763197905429
"8L52324",43619,43300,64747,-0.0252363197905429
"8L52327",43837,43240,64653,-0.0121563197905429
"8L52328",44681,43310,64751,0.0242436802094571
"8L52329",44979,43320,64762,0.0375736802094571
"8L52330",45048,43210,64608,0.0460336802094571
"8L52334",43780,43370,64837,-0.0206163197905429
"8L52335",44813,43330,64781,0.0293336802094571
"8L52338",43909,43330,64791,-0.0131063197905429
"8L52340",43499,43280,64710,-0.0298263197905429
"8L52342",43633,43310,64763,-0.0250663197905429
"8L52343",43609,43330,64790,-0.0270363197905429
"8L52344",43854,43270,64702,-0.0128463197905429
"8L52345",43911,43310,64752,-0.0118463197905429
"8L52347",44417,43360,64828,0.00944368020945709
"8L52349",43605,43360,64827,-0.0283163197905429
"8L52351",47919,43260,64673,0.177903680209457
"8L52352",43519,43340,64804,-0.0317753197905429
"8L52353",43290,43350,64813,-0.0427543197905429
"8L52355",43956,43340,64799,-0.0111263197905429
"8L52357",43861,43270,64696,-0.0124463197905429
"8L52358",44274,43320,64768,0.00470368020945709
"8L52360",43598,43330,64784,-0.0274663197905429
"8L52361",43352,43350,64821,-0.0398331697905429
"8L52362",43957,43360,64825,-0.0119663197905429
"8L52364",44543,43350,64813,0.0157636802094571
"8L52366",43847,43360,64828,-0.0172063197905429
"8L52372",42969,43360,64831,-0.0581763197905429
"8L52375",44261,43320,64776,0.00387368020945709
"8L52377",43382,43300,64738,-0.0361103197905429
"8L52378",47847,43260,64688,0.174003680209457
"8L52379",43960,43350,64814,-0.0115063197905429
"8L52381",43376,43340,64794,-0.0380943197905429
"8L52383",43193,43340,64807,-0.0469693197905429
"8L52384",43462,43340,64800,-0.0341033197905429
"8L52386",43508,43320,64773,-0.0312863197905429
"8L52387",43550,43320,64766,-0.0290363197905429
"8L52388",43534,43360,64827,-0.0316133197905429
"8L52389",44094,43360,64824,-0.00549631979054291
"8L52390",45445,43330,64789,0.0586336802094571
"8L52391",44276,42640,63736,0.0376336802094571
"8L52392",43909,43360,64832,-0.0143063197905429
"8L52393",44175,43340,64804,-0.00107631979054291
"8L52394",43354,43350,64821,-0.0398825397905429
"8L52395",44158,43330,64786,-0.00127631979054291
"8L52396",44097,43350,64811,-0.00488631979054291
"8L52397",43488,43320,64773,-0.0321733197905429
"8L52398",44403,43270,64688,0.0130936802094571
"8L52401",45179,43360,64833,0.0447536802094571
"8L52404",44226,43370,64836,0.000183680209457089
"8L52411",43966,43320,64759,-0.00961631979054291
"8L52415",43612,43250,64659,-0.0230163197905429
"8L52418",43808,43100,64435,-0.00654631979054291
"8L52419",43572,43240,64651,-0.0242463197905429
"8L52420",44247,43080,64417,0.0145836802094571
"8L52426",43623,43340,64802,-0.0268463197905429
"8L52428",44912,43340,64800,0.0333836802094571
"8L52493",43730,43310,64760,-0.0204763197905429
"8L52504",44370,43370,64851,0.00645368020945709
"8L52527",40764,41660,62070,-0.0836563197905429
"8L52533",44326,43370,64841,0.00472368020945709
"8L52534",44047,43340,64795,-0.00683631979054291
"8L52535",43877,43370,64843,-0.0162063197905429
"8L52550",44237,43370,64844,0.000443680209457092
"8L52551",42945,42760,63967,-0.0313963197905429
"8L52552",43893,43220,64623,-0.00831631979054291
"8L52555",43169,42580,63679,-0.0120463197905429
"8L52574",43567,43360,64828,-0.0302603197905429
"8L52588",44578,43310,64748,0.0193136802094571
"8L52590",44194,43320,64775,0.000623680209457092
"8L52591",44412,43330,64783,0.0105036802094571
"8L52592",44257,43320,64763,0.00401368020945709
"8L52595",44126,43350,64816,-0.00367631979054291
"8L52596",44088,43350,64821,-0.00572631979054291
"8L52597",43908,43210,64607,-0.00744631979054291
"8L52598",43546,43370,64847,-0.0317343197905429
"8L52603",44182,43370,64849,-0.00228631979054291
"8L52619",43790,43260,64678,-0.0151363197905429
"8L52623",43965,43310,64751,-0.00930631979054291
"8L52624",43740,43360,64823,-0.0221463197905429
"8L52640",44155,43330,64785,-0.00148631979054291
"8L52680",44866,43330,64784,0.0317336802094571
"8L52688",44470,43340,64798,0.0128936802094571
"8L52695",45354,43320,64760,0.0551536802094571
"8L52905",43929,43340,64794,-0.0124063197905429
"8L52909",43590,43310,64756,-0.0269463197905429
"8L52913",43868,43320,64770,-0.0144763197905429
"8L52920",44398,43370,64837,0.00814368020945709
"8L52922",43998,43360,64827,-0.0101263197905429
"8L52931",43204,42950,64234,-0.0280563197905429
"8L52932",44094,43110,64468,0.00600368020945709
"8L52934",43893,43150,64525,-0.00523631979054291
"8L52943",44957,43230,64623,0.0409636802094571
"8L52950",43762,43370,64848,-0.0217363197905429
"8L52954",43940,43360,64827,-0.0129263197905429
"8L52956",44419,43370,64838,0.00906368020945709
"8L52961",44225,43340,64803,0.00117368020945709
"8L52963",44673,43210,64610,0.0282736802094571
"8L52965",45024,43230,64629,0.0440236802094571
"8L52967",43870,43230,64636,-0.0100863197905429
"8L52973",43641,43110,64454,-0.0148163197905429
"8L52974",44313,43200,64590,0.0122136802094571
"8L52978",44399,43340,64795,0.00954368020945709
"8L57701",43830,43380,64851,-0.0187863197905429
"8L57729",43836,43280,64718,-0.0141763197905429
"8L57742",43517,43360,64833,-0.0326363197905429
"8L57758",43947,43330,64790,-0.0113163197905429
"8L57789",44549,43260,64677,0.0203436802094571
"8L57791",44078,43310,64760,-0.00423631979054291
"8L57803",43425,43300,64740,-0.0339823197905429
"8L57814",45235,43360,64822,0.0476236802094571
"8L57821",43859,43320,64764,-0.0147263197905429
"8L57826",44310,43270,64688,0.00875368020945709
"8L57857",44202,43310,64747,0.00188368020945709
"8L57858",44320,43330,64784,0.00622368020945709
"8L57859",44063,43360,64828,-0.00703631979054291
"8L57876",44270,43340,64792,0.00361368020945709
"8L57880",44107,43350,64820,-0.00478631979054291
"8L57882",44159,43370,64837,-0.00292631979054291
"8L57906",43392,43370,64839,-0.0386783197905429
"8L57907",42369,42440,63475,-0.0434173197905429
"8L57913",43669,43300,64732,-0.0225463197905429
"8L57916",43617,43370,64834,-0.0281763197905429
"8L57918",43960,43370,64842,-0.0123063197905429
"8L57927",43572,43340,64805,-0.0292663197905429
"8L57950",43403,43350,64805,-0.0372033197905429
"8L57955",47513,43280,64710,0.157603680209457
"8L57966",43861,43330,64784,-0.0153463197905429
"8L57967",43559,43300,64733,-0.0278663197905429
"8L57974",43466,43330,64777,-0.0333873197905429
"8M71460",43521,43350,64809,-0.0317883197905429
"8M71452",44290,43320,64766,0.00546368020945709
"8M71448",43859,43320,64765,-0.0148163197905429
"8L64011",43761,43360,64826,-0.0211163197905429
"8M71447",43639,43340,64794,-0.0258063197905429
"8L64055",43403,43240,64654,-0.0324073197905429
"8L64058",43824,43330,64774,-0.0166663197905429
"8L64060",43654,43340,64792,-0.0251463197905429
"8L64075",43677,43360,64832,-0.0251963197905429
"8L64092",43945,43350,64811,-0.0120263197905429
"8L64093",42808,43370,64846,-0.0660963197905429
"8M71378",43816,43330,64793,-0.0174663197905429
"8L64127",43824,43330,64782,-0.0168763197905429
"8L64134",44487,43370,64839,0.0123036802094571
"8L64142",44209,43260,64683,0.00418368020945709
"8L64144",44802,43320,64761,0.0294236802094571
"8L64148",43592,43370,64837,-0.0293363197905429
"8L64157",43918,43370,64843,-0.0144263197905429
"8L64169",43598,43250,64644,-0.0234063197905429
"8L64171",44637,43310,64759,0.0218236802094571
"8L64173",43793,43360,64822,-0.0195063197905429
"8L64175",43534,43370,64832,-0.0320523197905429
"8L64176",43445,43350,64802,-0.0352383197905429
"8L64178",44499,43350,64809,0.0136936802094571
"8M71362",44303,43350,64809,0.00465368020945709
"8M71358",43556,43290,64719,-0.0273663197905429
"8L64202",43563,43040,64345,-0.0151863197905429
"8L64206",44532,43350,64814,0.0150536802094571
"8L64210",44295,43360,64826,0.00363368020945709
"8L64212",43799,43350,64805,-0.0188063197905429
"8L64215",43488,43090,64425,-0.0213163197905429
"8L64256",44275,43220,64613,0.00953368020945709
"8L64265",44343,43370,64842,0.00550368020945709
"8L64266",44568,43230,64628,0.0227236802094571
"8L64271",43859,43320,64760,-0.0146163197905429
"8L64272",44166,43360,64822,-0.00212631979054291
"8L64280",43949,43300,64735,-0.00953631979054291
"8L64283",42552,42570,63663,-0.0406430197905429
"8L64286",43684,43200,64589,-0.0173363197905429
"8L64288",45182,43360,64838,0.0447336802094571
"8L64291",49069,43330,64793,0.227403680209457
"8L64298",43928,43330,64783,-0.0120363197905429
"8L64327",44179,43380,64854,-0.00250631979054291
"8L64372",44669,43320,64774,0.0228136802094571
"8L64373",43874,43360,64826,-0.0157963197905429
"8L64387",44854,43290,64729,0.0328736802094571
"8L64397",44023,43370,64849,-0.00970631979054291
"8L64398",43985,43330,64787,-0.00954631979054291
"8L64399",44056,43360,64824,-0.00737631979054291
"8M71353",46257,43310,64759,0.0974036802094571
"8M71345",44308,43290,64734,0.00746368020945709
"8M71332",44217,43280,64717,0.00361368020945709
"8M71324",43178,43200,64583,-0.0406964197905429
"8M71167",43913,43330,64776,-0.0125663197905429
"8L64499",42992,43350,64811,-0.0565163197905429
"8L64501",44091,43330,64785,-0.00457631979054291
"8M71162",44153,43320,64767,-0.00105631979054291
"8L64513",43539,43340,64797,-0.0305733197905429
"8M71158",43332,43320,64769,-0.0395436197905429
"8L64529",43483,43370,64845,-0.0346243197905429
"8L64540",43722,43350,64812,-0.0225163197905429
"8L64560",43052,43060,64380,-0.0403917197905429
"8M71141",44011,43320,64762,-0.00753631979054291
"8M71108",43815,43300,64731,-0.0157363197905429
"8L64791",43651,43350,64814,-0.0259363197905429
"8M71106",43125,43320,64759,-0.0488393197905429
"8L64812",44150,43370,64839,-0.00339631979054291
"8L64813",44003,43370,64846,-0.0105063197905429
"8L64824",43891,43360,64831,-0.0153063197905429
"8L64825",43776,43330,64791,-0.0193263197905429
"8L64829",45118,43210,64593,0.0495036802094571
"8L64836",44729,43330,64789,0.0250836802094571
"8L64838",44088,43360,64826,-0.00594631979054291
"8L64839",44016,43250,64662,-0.00411631979054291
"8L64840",43860,43310,64746,-0.0141163197905429
"8L64849",44279,43340,64789,0.00401368020945709
"8L64856",44488,43310,64759,0.0148236802094571
"8L64858",43577,43280,64704,-0.0262163197905429
"8L64862",42583,42400,63428,-0.0311543197905429
"8L64869",42720,43370,64840,-0.0700163197905429
"8L64872",43722,43360,64836,-0.0230963197905429
"8L64873",43542,43340,64799,-0.0304803197905429
"8M71105",43443,43300,64739,-0.0331323197905429
"8L64893",44201,43320,64769,0.00111368020945709
"8M71079",44129,43290,64722,-0.000666319790542907
"8L64901",44015,43350,64811,-0.00884631979054291
"8L64902",44450,43340,64805,0.0116136802094571
"8L64903",43759,43360,64827,-0.0213163197905429
"8L64915",43422,43070,64397,-0.0233563197905429
"8L64916",44323,43150,64521,0.0150436802094571
"8L64922",45081,43340,64806,0.0410836802094571
"8L64923",45241,43350,64817,0.0480336802094571
"8L64933",44229,43290,64729,0.00369368020945709
"8L64970",41664,41480,61891,-0.0309063197905429
"8L64981",43286,42710,63837,-0.0124163197905429
"8L64996",45609,43360,64826,0.0651036802094571
"8L88307",43956,43260,64682,-0.00756631979054291
"8L89003",43737,43360,64824,-0.0222363197905429
"8L89030",44369,43350,64819,0.00738368020945709
"8M31828",44524,43340,64802,0.0151536802094571
"8M31826",43678,43330,64783,-0.0236563197905429
"8M31823",44421,43320,64773,0.0114036802094571
"8M31815",44440,43310,64749,0.0128036802094571
"8L89197",44442,43290,64728,0.0137236802094571
"8L89202",44135,43320,64767,-0.00184631979054291
"8L89211",44165,43370,64847,-0.00301631979054291
"8L89230",44032,43040,64298,0.00683368020945709
"8L89244",47015,43290,64718,0.134003680209457
"8L89245",45327,43340,64797,0.0527836802094571
"8L89254",44186,42680,63827,0.0313936802094571
"8L89256",44580,43040,64365,0.0322936802094571
"8L89259",43665,43160,64549,-0.0164863197905429
"8L89265",43942,43260,64679,-0.00820631979054291
"8L89266",43775,43300,64728,-0.0175363197905429
"8L89268",43934,43360,64836,-0.0132763197905429
"8L89269",43826,43340,64804,-0.0174563197905429
"8L89271",44312,43360,64829,0.00445368020945709
"8L89273",45691,43340,64797,0.0697036802094571
