"ringnr","O_HOM","E_HOM","N_SITES","F_hat"
"8598887",43607,43230,64639,-0.0222963197905429
"8598907",44548,43370,64846,0.0148736802094571
"8651511",41763,41860,62459,-0.0445143197905429
"8651512",42336,42300,63165,-0.0379983197905429
"8651514",41791,42190,63104,-0.0589463197905429
"8651522",43836,43320,64770,-0.0157763197905429
"8651534",43639,43010,64310,-0.0104963197905429
"8651539",45183,42970,64234,0.0644036802094571
"8651543",43979,43270,64688,-0.00687631979054291
"8651548",44391,43380,64859,0.00712368020945709
"8651576",47875,43330,64781,0.172103680209457
"8651600",42817,43050,64384,-0.0508163197905429
"8651621",44109,43370,64847,-0.00554631979054291
"8651658",44204,43360,64833,-0.000716319790542909
"8651664",44123,43120,64479,0.00719368020945709
"8651665",44005,43330,64777,-0.00828631979054291
"8651695",44587,43350,64817,0.0176636802094571
"8651701",40919,41720,62214,-0.0789963197905429
"8651717",44196,43340,64800,-4.63197905429119e-05
"8651728",43708,43370,64841,-0.0240263197905429
"8651730",43621,43300,64740,-0.0250563197905429
"8651743",43847,43350,64809,-0.0166063197905429
"8651754",44329,43320,64773,0.00700368020945709
"8651761",48462,43280,64707,0.202003680209457
"8651765",44468,43300,64745,0.0144636802094571
"8651772",44329,43240,64652,0.0110436802094571
"8651778",44340,43310,64751,0.00825368020945709
"8651783",43925,43160,64527,-0.00398631979054291
"8651784",49485,43220,64619,0.253003680209457
"8651786",44507,43240,64654,0.0191536802094571
"8651790",44470,43330,64788,0.0132536802094571
"8651795",44574,43330,64786,0.0180636802094571
"8651799",44177,43160,64541,0.00754368020945709
"8651804",44098,43360,64832,-0.00567631979054291
"8651860",44462,43300,64732,0.0144336802094571
"8651869",44019,43320,64772,-0.00743631979054291
"8651870",46292,43210,64609,0.104003680209457
"8651875",47366,43320,64774,0.148603680209457
"8651876",43895,43160,64522,-0.00531631979054291
"8651878",44356,43370,64838,0.00617368020945709
"8651882",44100,43360,64836,-0.00563631979054291
"8651883",44273,43270,64697,0.00690368020945709
"8651884",43877,43380,64851,-0.0165363197905429
"8651899",44121,43350,64818,-0.00419631979054291
"8651903",45199,43290,64730,0.0489436802094571
"8651907",44592,43260,64672,0.0223736802094571
"8651911",45079,43180,64581,0.0486236802094571
"8651929",43842,43220,64629,-0.0109963197905429
"8651942",44107,43300,64743,-0.00233631979054291
"8651948",43918,43370,64843,-0.0144263197905429
"8651952",44144,43350,64817,-0.00299631979054291
"8651975",45809,43330,64788,0.0756036802094571
"8651979",44423,43330,64788,0.0108936802094571
"8651997",43670,43220,64610,-0.0186463197905429
"8651998",44076,43380,64857,-0.00753631979054291
"8668476",40984,41750,62338,-0.0772363197905429
"8668482",48149,43350,64810,0.183903680209457
"8668490",43855,43360,64831,-0.0169263197905429
"8681001",44107,43370,64847,-0.00570631979054291
"8681002",44077,43380,64858,-0.00741631979054291
"8681003",44087,43370,64834,-0.00627631979054291
"8681005",44882,43360,64831,0.0310136802094571
"8681008",43997,43360,64834,-0.0103063197905429
"8681009",45267,43360,64827,0.0489636802094571
"8681012",43981,43330,64791,-0.00977631979054291
"8681017",44089,43370,64849,-0.00648631979054291
"8681020",44522,43360,64837,0.0140036802094571
"8681024",43830,43360,64823,-0.0178963197905429
"8681025",43958,43340,64795,-0.0110963197905429
"8681028",44257,43390,64879,0.000313680209457094
"8681029",44106,43270,64698,-0.00107631979054291
"8681032",43985,43380,64853,-0.0115663197905429
"8681033",43738,43300,64739,-0.0196163197905429
"8681034",44063,43300,64729,-0.00406631979054291
