"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8L64902",-0.681493300033733,2,30.75,44450,43350,64805,0.0115947329575249,"27"
"8L64903",0.712680694401144,3,33,43759,43360,64827,-0.0213352670424751,"27"
"8L64915",-1.9603051613082,4,29.275,43422,43070,64397,-0.0233752670424751,"26"
"8L64916",0.437290374492702,3,32.2333333333333,44323,43150,64521,0.0150247329575249,"26"
"8L64922",0.12202129675039,3,31.7,45081,43340,64806,0.0410647329575249,"38"
"8L64923",-0.865558987302784,1,29.6,45241,43350,64817,0.0480247329575249,"38"
"8L64933",-1.53186654134103,6,29.85,44229,43300,64729,0.00367473295752491,"27"
"8L64970",-0.614088266008038,3,30.6666666666667,41664,41480,61891,-0.0309272670424751,"27"
"8L64981",-2.20808730684209,2,28.35,43286,42710,63837,-0.0124352670424751,"26"
"8L64996",0.832884620399147,3,32.7,45609,43360,64826,0.0650347329575249,"38"
"8L88307",-0.57688014313394,1,30,43956,43260,64682,-0.00758526704247509,"24"
"8L89003",0.0131718410233943,5,31.16,43737,43360,64824,-0.0222552670424751,"67"
"8L89030",0.671708710593871,2,32.55,44369,43360,64819,0.00736473295752491,"34"
"8L89118",-1.8093589428248,6,28.9333333333333,43730,43350,64817,-0.0223552670424751,"63"
"8L89119",0.229803280769602,6,31.4666666666667,43771,43330,64782,-0.0192752670424751,"63"
"8L89143",-0.569391891148591,5,30.3,43849,43310,64745,-0.0145752670424751,"63"
"8L89157",-0.162571328654834,1,30.3,44948,43290,64716,0.0375547329575249,"63"
"8L89179",0.44288818965123,4,31.675,44634,43280,64704,0.0234347329575249,"61"
"8L89197",-0.896488671710384,5,30.06,44442,43290,64728,0.0137047329575249,"61"
"8L89202",1.85625771780649,1,35.5,44135,43320,64767,-0.00186526704247509,"27"
"8L89211",1.51647924205135,2,33.45,44165,43370,64847,-0.00303526704247509,"27"
"8L89230",1.50215711855146,2,33.9,44032,43040,64298,0.00681473295752491,"28"
"8L89244",-0.189629729242242,1,31.1,47015,43290,64718,0.134034732957525,"28"
