"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8118424",0.643283398838928,3,81.5733333333333,43882,43350,64806,-0.014890133460443,"28"
"8118425",-1.09681443583076,3,76.5966666666667,43914,43340,64796,-0.013040133460443,"28"
"8118426",-0.83423935833555,6,79.6433333333333,45164,42650,63638,0.080099866539557,"28"
"8118429",0.514855410761538,1,80.85,44091,43160,64538,0.00344986653955696,"28"
"8118430",-1.08945118585263,2,79.025,43549,43350,64815,-0.030645133460443,"28"
"8118432",1.32423334655331,2,80.62,45108,43360,64836,0.041359866539557,"26"
"8118433",-1.32796271431469,2,79.575,45388,43370,64845,0.054169866539557,"26"
"8118435",-0.722664633807545,2,77.64,44063,43320,64771,-0.00549013346044303,"26"
"8168602",-0.771940559082583,2,77.36,45316,43230,64643,0.057369866539557,"38"
"8168603",0.838639972049415,2,82.36,44262,43360,64824,0.00226986653955696,"38"
"8168605",0.822856000960041,2,82.845,44610,43090,64423,0.031489866539557,"38"
"8168606",-0.528963435831492,2,80.845,44633,43300,64735,0.022369866539557,"38"
"8168613",0.35629277612795,1,79.26,41525,41840,62554,-0.054870133460443,"27"
"8168614",-0.354514877596222,1,76.91,46824,43240,64645,0.127699866539557,"28"
"8168615",1.4112650898212,1,80.83,44191,43280,64718,0.00249986653955696,"33"
"8168617",0.169868648165787,1,80.86,44243,43350,64811,0.00189986653955696,"34"
"8168632",-0.0876214367107699,1,78,43716,43290,64728,-0.020050133460443,"33"
"8168635",0.306384407981298,1,82,42446,42350,63313,-0.035325133460443,"27"
"8168636",-0.831622406064731,1,80,42383,42300,63228,-0.035871133460443,"27"
"8168638",3.18903647137033,5,85.736,43753,43190,64593,-0.013780133460443,"27"
"8168639",0.502247052495384,2,79.415,43967,43300,64738,-0.00872013346044304,"26"
"8168642",0.231535704087038,1,79,41579,42010,62830,-0.060600133460443,"27"
"8168644",-0.731183390001599,1,80,41028,41770,62490,-0.075530133460443,"27"
"8168648",0.471015005412171,2,81.93,41211,41490,62097,-0.053560133460443,"26"
"8168649",-2.214220571021,1,74.86,44244,43280,64716,0.00492986653955697,"26"
"8168650",-0.529505532884498,2,77.93,42551,42460,63454,-0.035375133460443,"27"
"8168655",-0.422069917798351,1,78,42820,42160,63037,-0.00816013346044304,"27"
"8168658",-1.67745138014307,1,74.86,41793,41930,62540,-0.046330133460443,"22"
"8168660",0.65434918460112,1,81.86,43814,43230,64650,-0.012840133460443,"22"
"8168661",-0.3284890829555,1,80,42893,42550,63597,-0.023750133460443,"22"
"8168662",0.28842833035831,1,80.86,43999,42960,64251,0.00899986653955696,"22"
"8168665",-2.32915265891039,1,74.86,42678,42440,63454,-0.028710133460443,"27"
"8168693",-0.481346831514505,1,79.86,44024,43330,64789,-0.00768013346044304,"28"
"8168698",1.14085959379409,1,80.86,42129,42120,62990,-0.039475033460443,"27"
"8168702",0.505527551496133,3,82.0866666666667,42244,42280,63210,-0.041395133460443,"27"
"8168709",-1.65896863018619,4,79.6725,43739,43370,64845,-0.022690133460443,"26"
"8168768",-0.190658957848679,1,81,42491,42240,63152,-0.027920133460443,"27"
"8168769",0.555249654690946,2,81.93,42238,42220,63119,-0.039009633460443,"27"
"8168771",-0.33716192141651,1,78,41351,41960,62725,-0.069370133460443,"27"
"8168772",-0.714891586617402,1,80,41099,41740,62446,-0.070850133460443,"27"
"8309128",-0.772261740080518,5,77.934,42198,42230,63159,-0.041451133460443,"27"
"8309135",1.61426076289092,1,81.43,42010,41920,62674,-0.035488133460443,"27"
"8309141",0.00405299961452523,8,81.69625,43081,42730,63869,-0.023250133460443,"27"
"8309143",-0.956306676759949,2,80.615,43787,43370,64850,-0.020700133460443,"26"
"8309146",-0.936724386612148,3,77.6666666666667,44263,43330,64788,0.00359986653955696,"26"
"8309155",0.521758946859139,2,78.69,44354,43070,64384,0.020389866539557,"28"
"8309156",0.190386724790923,6,81.6833333333333,44075,43220,64597,0.000249866539556963,"28"
"8309158",-1.33769188580731,5,79.252,44286,43260,64674,0.00794986653955696,"28"
"8309159",-1.27172118640824,1,78.03,43127,42700,63841,-0.019920133460443,"28"
"8309164",0.242151864790401,6,82.0016666666667,44832,43270,64692,0.032999866539557,"38"
"8309165",0.921324388637792,3,82.7733333333333,44900,43180,64549,0.040749866539557,"38"
"8309171",-2.85719788217764,6,75.975,41791,42020,62814,-0.050830133460443,"27"
"8309173",0.836153776287433,2,81.94,43930,43320,64767,-0.011430133460443,"27"
"8309175",-0.0606290378001014,9,79.4422222222222,44137,43360,64829,-0.00379013346044303,"26"
"8309182",-0.766410269648805,3,80.4866666666667,42461,42550,63611,-0.044028133460443,"27"
"8309190",-0.434047332629664,4,81.095,44202,43370,64840,-0.00111013346044304,"26"
"8309191",-0.677935910948525,3,80.9466666666667,44078,43360,64836,-0.00669013346044303,"26"
"8309195",-2.06468382972908,2,78.38,43681,43380,64862,-0.025910133460443,"26"
"8309197",0.492575514597539,1,82.03,42540,42440,63432,-0.034907133460443,"27"
"8309218",0.168824894023271,3,82.2233333333333,43766,43340,64805,-0.020180133460443,"63"
"8309231",0.25188438566554,6,80.1983333333333,43860,43040,64353,-0.00161013346044304,"63"
"8309251",-0.977043337784411,1,77.03,44023,43270,64681,-0.00464013346044304,"27"
"8309252",-0.396912925992111,4,78.185,42607,42240,63201,-0.022610133460443,"27"
"8309254",0.343280720626137,2,82.115,43278,42650,63747,-0.010130133460443,"27"
"8309260",-0.18651976718339,1,81.03,43874,43280,64719,-0.012330133460443,"27"
"8309263",-0.540491529571393,3,77.9,42291,42140,63011,-0.032527133460443,"27"
"8309266",-0.791102404031299,1,80.85,43872,43250,64659,-0.010800133460443,"27"
"8309267",1.18053499674798,3,82.8433333333333,43351,42870,64095,-0.017130133460443,"27"
"8309269",0.308227081444226,1,80.85,45358,43230,64627,0.059709866539557,"27"
"8309272",-0.265892093291778,13,78.8015384615385,43915,43330,64790,-0.012820133460443,"27"
"8309274",0.499537596341218,4,82.125,47029,43320,64777,0.132799866539557,"27"
"8309277",0.461689869390351,1,82.35,41639,42170,63054,-0.065080133460443,"27"
"8309283",2.31454850689343,4,81.185,44318,43360,64832,0.00469986653955697,"27"
"8309285",2.12550340880414,4,80.9225,43777,42680,63800,0.012089866539557,"27"
"8309287",0.452880665323181,3,81.9033333333333,44156,43260,64682,0.00177986653955697,"27"
"8309288",0.792110411659475,1,81.85,43996,43360,64827,-0.010180133460443,"27"
"8309291",-0.491564365380289,2,78.645,43825,43070,64388,-0.00427013346044303,"20"
"8309298",0.00446088882426947,1,81.85,43715,43360,64825,-0.023240133460443,"26"
"8414501",-1.32211960373549,10,77.634,44161,43280,64714,0.00105986653955697,"20"
"8414527",-0.824919880106424,2,76.545,43739,43120,64463,-0.010840133460443,"23"
"8414806",-1.47325199051652,8,80.06875,44306,43350,64809,0.00483986653955697,"27"
"8537612",0.442580701528831,11,79.5072727272727,44034,43360,64825,-0.00845013346044304,"26"
"8537699",-0.513140171717577,7,81.1357142857143,43726,43340,64805,-0.022000133460443,"20"
"8537700",-0.448060414167385,13,81.6046153846154,44025,43360,64831,-0.00901013346044303,"20"
"8537728",-1.0916355011115,8,77.82875,44376,43350,64810,0.00800986653955697,"27"
"8537761",-0.064874038268724,1,80,45532,43150,64509,0.071599866539557,"22"
"8537770",-0.148719137868759,3,80.37,47451,43250,64670,0.156199866539557,"33"
"8537774",1.96733380543542,4,80.505,45185,43280,64716,0.048869866539557,"33"
"8573156",0.0225853549411406,11,78.3936363636364,47652,43320,64767,0.161999866539557,"26"
"8573187",1.75599697873135,6,83.3983333333333,44040,43250,64665,-0.00308013346044304,"26"
"8573221",-2.10324503021499,4,78.5,43726,43370,64844,-0.023320133460443,"26"
"8573281",-0.35954995845249,1,77,44191,43180,64581,0.00723986653955697,"24"
"8573515",0.0527973553128013,3,79.8033333333333,43807,43360,64831,-0.019040133460443,"28"
"8573521",-0.152807803914475,2,79.86,43098,42740,63931,-0.023150133460443,"23"
"8573567",-0.806863698778387,5,77.65,44015,43320,64775,-0.00763013346044304,"20"
"8573572",1.02878970126832,7,82.7528571428571,44095,43340,64804,-0.00489013346044304,"26"
"8573603",0.646998114625211,5,79.068,44442,43340,64806,0.011279866539557,"27"
"8573606",-0.898051108385896,6,77.2766666666667,44230,43170,64542,0.00969986653955696,"27"
"8573608",-2.52933894879556,6,75.0366666666667,44811,43280,64705,0.031749866539557,"33"
"8573682",1.14304461525357,9,79.6688888888889,43994,43230,64654,-0.00431013346044304,"26"
"8573683",-1.62865090845938,4,75.75,44214,43300,64738,0.00280986653955696,"29"
"8573752",-0.852795720846059,3,79.5466666666667,44299,43330,64793,0.00507986653955696,"33"
"8573815",0.992221231455826,3,82,44543,43280,64717,0.019109866539557,"24"
