"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8118424",0.314845014382925,3,19.8633333333333,43882,43350,64806,-0.0149163197905429,"28"
"8118425",-0.0673003659663907,3,19.35,43914,43340,64796,-0.0130663197905429,"28"
"8118426",0.116031329440421,6,19.6066666666667,45164,42650,63638,0.0800036802094571,"28"
"8118429",0.117632493917543,1,19.68,44091,43170,64538,0.00342368020945709,"28"
"8118430",-0.625197480675932,2,18.85,43549,43350,64815,-0.0306693197905429,"28"
"8118432",0.172373858153334,2,19.55,45108,43360,64836,0.0413436802094571,"26"
"8118433",-1.34254336438103,2,18.09,45388,43370,64845,0.0541536802094571,"26"
"8118435",-0.101408923689774,2,19.42,44063,43330,64771,-0.00550631979054291,"26"
"8168602",0.850315848340856,2,20.43,45316,43230,64643,0.0573436802094571,"38"
"8168603",0.346875680463084,2,20.03,44262,43360,64824,0.00225368020945709,"38"
"8168605",-0.0541372673321252,2,19.63,44610,43090,64423,0.0314636802094571,"38"
"8168606",0.314398245805629,2,19.98,44633,43300,64735,0.0223436802094571,"38"
"8168613",0.154499258812913,1,19.8,41525,41840,62554,-0.0548963197905429,"27"
"8168614",-0.142569469309005,1,19.31,46824,43240,64645,0.127603680209457,"28"
"8168615",0.969384525582073,1,20.48,44191,43280,64718,0.00248368020945709,"33"
"8168617",1.51034212247133,1,21.38,44243,43350,64811,0.00187368020945709,"34"
"8168632",0.433818084293813,1,19.9,43716,43290,64728,-0.0200763197905429,"33"
"8168635",-0.447777071900209,1,19.1,42446,42350,63313,-0.0353503197905429,"27"
"8168636",-0.543495864245571,1,19,42383,42300,63228,-0.0358963197905429,"27"
"8168638",2.08004836555354,5,21.922,43753,43190,64593,-0.0138063197905429,"27"
"8168639",0.0132433701668407,2,19.44,43967,43300,64738,-0.00874631979054291,"26"
"8168642",-0.259631035165024,1,19.2,41579,42010,62830,-0.0606263197905429,"27"
"8168644",-0.729232104772052,1,18.8,41028,41770,62490,-0.0755563197905429,"27"
"8168648",0.718982832601952,2,20.24,41211,41490,62097,-0.0535863197905429,"26"
"8168649",0.0300707341307852,1,19.38,44244,43280,64716,0.00490368020945709,"26"
"8168650",0.808221646258747,2,20.34,42551,42460,63454,-0.0353983197905429,"27"
"8168655",0.982778813568384,1,20.5,42820,42160,63037,-0.00817631979054291,"27"
"8168658",0.336810582676169,1,19.98,41793,41930,62540,-0.0463563197905429,"22"
"8168660",0.785856876016593,1,20.58,43814,43240,64650,-0.0128663197905429,"22"
"8168661",-0.696570523374015,1,19,42893,42550,63597,-0.0237763197905429,"22"
"8168662",0.764962746667384,1,20.48,43999,42960,64251,0.00897368020945709,"22"
"8168665",-1.33478137999077,1,17.98,42678,42440,63454,-0.0287263197905429,"27"
"8168693",-0.348266658763505,1,18.98,44024,43330,64789,-0.00769631979054291,"28"
"8168698",0.104083752016819,1,19.58,42129,42120,62990,-0.0394993197905429,"27"
"8168702",-0.839358145625312,3,18.7,42244,42280,63210,-0.0414193197905429,"27"
"8168709",0.480560293386652,4,19.9475,43739,43370,64845,-0.0227163197905429,"26"
"8168768",0.749039899211362,1,20.3,42491,42240,63152,-0.0279463197905429,"27"
"8168769",0.484902780135057,2,20.04,42238,42220,63119,-0.0390338197905429,"27"
"8168771",0.421101959213278,1,20,41351,41960,62725,-0.0693963197905429,"27"
"8168772",-0.613524564581463,1,19,41099,41740,62446,-0.0708763197905429,"27"
"8309128",-0.765650933097212,5,18.75,42198,42230,63159,-0.0414743197905429,"27"
"8309135",1.15805777860454,1,20.75,42010,41920,62674,-0.0355123197905429,"27"
"8309141",-0.601472993158633,7,19.0571428571429,43081,42730,63869,-0.0232663197905429,"27"
"8309143",-2.78173073692853,3,16.7366666666667,43787,43380,64850,-0.0207263197905429,"26"
"8309146",-0.433004455782528,3,18.96,44263,43330,64788,0.00357368020945709,"26"
"8309155",-0.400249067381172,2,19,44354,43070,64384,0.0203636802094571,"28"
"8309156",0.11418480545508,6,19.73,44075,43220,64597,0.000223680209457094,"28"
"8309158",-0.165177287185067,5,19.384,44286,43260,64674,0.00793368020945709,"28"
"8309159",0.57590149675103,1,20.11,43127,42710,63841,-0.0199363197905429,"28"
"8309164",-0.859647460727186,6,18.8183333333333,44832,43270,64692,0.0329736802094571,"38"
"8309165",1.78668509486401,3,21.5133333333333,44900,43180,64549,0.0407236802094571,"38"
"8309171",-0.439656281602749,6,19.2216666666667,41791,42020,62814,-0.0508563197905429,"27"
"8309173",1.12019835716021,2,20.795,43930,43320,64767,-0.0114563197905429,"27"
"8309175",-0.432196709390587,9,19.1044444444444,44137,43360,64829,-0.00381631979054291,"26"
"8309182",0.468626834731833,3,20.1266666666667,42461,42550,63611,-0.0440523197905429,"27"
"8309190",-0.566793175450649,4,19.015,44202,43370,64840,-0.00113631979054291,"26"
"8309191",-0.275069148547556,3,19.2933333333333,44078,43370,64836,-0.00671631979054291,"26"
"8309195",-1.23115523178875,2,18.24,43681,43380,64862,-0.0259363197905429,"26"
"8309197",0.343205128431259,1,19.98,42540,42440,63432,-0.0349313197905429,"27"
"8309218",0.222393606293296,3,20.1166666666667,43766,43340,64805,-0.0202063197905429,"63"
"8309231",-1.21685738168313,6,18.645,43860,43040,64353,-0.00162631979054291,"63"
"8309251",0.396347190298681,1,20,44023,43270,64681,-0.00466631979054291,"27"
"8309252",0.0459476482362796,4,19.605,42607,42250,63201,-0.0226263197905429,"27"
"8309254",0.527582854836672,2,20.2,43278,42650,63747,-0.0101563197905429,"27"
"8309260",-0.132625670136774,1,19.5,43874,43280,64719,-0.0123563197905429,"27"
"8309263",0.0184129738745606,3,19.5466666666667,42291,42140,63011,-0.0325513197905429,"27"
"8309266",0.0691280984221247,1,19.82,43872,43250,64659,-0.0108263197905429,"27"
"8309267",0.415836774369125,3,20.01,43351,42870,64095,-0.0171563197905429,"27"
"8309269",0.670067152967954,1,20.35,45358,43230,64627,0.0596836802094571,"27"
"8309272",0.770175708298485,13,20.3876923076923,43915,43330,64790,-0.0128463197905429,"27"
"8309274",0.492801226402152,4,20.0675,47029,43320,64777,0.132803680209457,"27"
"8309277",0.998755807115315,1,20.75,41639,42170,63054,-0.0651063197905429,"27"
"8309283",0.324226256182771,4,19.895,44318,43360,64832,0.00468368020945709,"27"
"8309285",0.0762826338530602,4,19.64,43777,42680,63800,0.0120636802094571,"27"
"8309287",0.761409585489555,3,20.3866666666667,44156,43260,64682,0.00175368020945709,"27"
"8309288",0.574016124094151,1,20.29,43996,43360,64827,-0.0101963197905429,"27"
"8309291",0.370621859255299,2,19.945,43825,43070,64388,-0.00429631979054291,"20"
"8309298",0.302662816569483,1,19.86,43715,43360,64825,-0.0232663197905429,"26"
"8414501",-0.244551120910858,10,19.24,44161,43280,64714,0.00104368020945709,"20"
"8414527",-0.0351823914525178,2,19.54,43739,43120,64463,-0.0108663197905429,"23"
"8414806",-1.3319425991611,8,18.3125,44306,43350,64809,0.00482368020945709,"27"
"8537612",0.0919489624707253,11,19.53,44034,43360,64825,-0.00847631979054291,"26"
"8537699",0.293454566349079,7,19.8257142857143,43726,43340,64805,-0.0220263197905429,"20"
"8537700",-0.627703490253215,14,18.98,44025,43360,64831,-0.00902631979054291,"20"
"8537728",-0.541014112936737,8,19.03375,44376,43350,64810,0.00799368020945709,"27"
"8537761",-0.308811058599289,1,19.3,45532,43150,64509,0.0716036802094571,"22"
"8537770",-0.538995492570635,3,18.84,47451,43250,64670,0.156203680209457,"33"
"8537774",0.811958878894223,4,20.2175,45185,43280,64716,0.0488436802094571,"33"
"8573156",1.10569967326727,11,20.5036363636364,47652,43320,64767,0.162003680209457,"26"
"8573187",0.665134671027793,6,20.1983333333333,44040,43250,64665,-0.00310631979054291,"26"
"8573221",0.289484159425468,4,19.8025,43726,43370,64844,-0.0233463197905429,"26"
"8573281",-1.33820822208412,1,18.1,44191,43180,64581,0.00721368020945709,"24"
"8573515",0.273985663017465,3,19.8233333333333,43807,43360,64831,-0.0190563197905429,"28"
"8573521",-2.49235141407351,2,17.08,43098,42740,63931,-0.0231663197905429,"23"
"8573567",1.02659642367726,5,20.436,44015,43320,64775,-0.00765631979054291,"20"
"8573572",-0.0296250870124005,7,19.5814285714286,44095,43340,64804,-0.00491631979054291,"26"
"8573603",1.14250391738753,6,20.6416666666667,44442,43340,64806,0.0112536802094571,"27"
"8573606",-0.578372351639823,6,18.9116666666667,44230,43170,64542,0.00968368020945709,"27"
"8573608",-3.13770964533269,6,16.25,44811,43280,64705,0.0317236802094571,"33"
"8573682",1.00072669303378,9,20.4411111111111,43994,43230,64654,-0.00433631979054291,"26"
"8573683",-0.942115394754251,4,18.5,44214,43300,64738,0.00279368020945709,"29"
"8573752",0.511123287950262,3,20.0333333333333,44299,43330,64793,0.00505368020945709,"33"
"8573815",-0.269704084959405,3,19.2333333333333,44543,43280,64717,0.0190936802094571,"24"
"8573856",-0.955536519368551,6,18.5633333333333,44389,43360,64829,0.00802368020945709,"26"
"8573864",0.137489172406744,6,19.5433333333333,44149,43320,64768,-0.00114631979054291,"20"
"8573872",-0.340772738488851,2,19.2,43279,42790,63985,-0.0169963197905429,"28"
"8573874",-0.435913408503393,2,19,43132,42900,64144,-0.0291163197905429,"28"
"8573896",-0.542838569895428,7,19.1171428571429,44063,43350,64814,-0.00664631979054291,"27"
"8573915",0.441496780751107,2,20.09,43744,43180,64566,-0.0136163197905429,"23"
"8573966",-0.292201785707806,4,19.2225,48609,43280,64714,0.208603680209457,"27"
"8573989",-0.411274184464296,6,18.9583333333333,44495,43260,64688,0.0175936802094571,"24"
"8598501",0.883807082242137,3,20.3166666666667,44799,43360,64824,0.0272236802094571,"28"
"8598568",-0.112705468186787,3,19.3233333333333,44144,43370,64845,-0.00397631979054291,"26"
"8598579",-0.972515196063524,1,18.37,44388,43330,64793,0.00923368020945709,"24"
"8598591",-1.50509358796932,1,17.98,44371,43270,64709,0.0112536802094571,"22"
"8598592",-0.536079383849407,1,18.87,43657,42970,64269,-0.00777631979054291,"24"
"8598599",0.470246829223654,1,20,44162,43290,64733,0.00059368020945709,"21"
"8598602",0.36298070205925,2,19.85,43813,43330,64771,-0.0171563197905429,"28"
"8598614",-1.3920614068986,2,18.1,43500,43180,64552,-0.0247263197905429,"28"
