phenotype,population,model,fold,fold_label,mode,cv_strategy,json_path,test_correlation,metric__mean_inner_r,model_type,hidden_dims,dropout,batch_norm,lr,weight_decay,epochs,loss,optimizer,graph_mode,cutoff,grm_norm,self_loops,use_snp_selection,num_snps,sage_aggr,sage_normalize,sage_project,knn_k,weighted_edges,symmetrize_mode,source
body_mass,within,sage_inductive_results,4,5,inductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_inductive_results.json,0.3190773136780372,0.29171594113557,graphsage,"(512, 256)",0.4040092960994884,False,1.2483433849203596e-05,1.822412024809984e-07,231.0,mae,adam,cutoff,0.5636178503305788,gcn,False,False,,mean,False,False,,,,
body_mass,within,sage_inductive_results,5,6,inductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_inductive_results.json,0.23268856677693237,0.30253482888050814,graphsage,"(512, 256)",0.20604080242133557,True,2.9740780038949984e-05,4.607876984256184e-06,173.0,mae,adam,cutoff,0.6956296068616692,cosine_then_gcn,False,True,48583.0,max,False,False,,,,
body_mass,within,sage_inductive_results,6,7,inductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_inductive_results.json,0.25188337228236074,0.30234838046840756,graphsage,"(512, 256)",0.12735700086043666,True,9.928462717407553e-05,1.471486254720434e-05,125.0,mae,adam,cutoff,0.4356311454790245,cosine_then_gcn,False,True,55970.0,mean,True,False,,,,
body_mass,within,sage_inductive_results,7,8,inductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_inductive_results.json,0.22255547354723768,0.298585762684554,graphsage,"(256, 128, 64)",0.5342759376390842,True,0.007906616162989348,7.282238552822e-06,47.0,mae,adam,cutoff,0.6242293403459821,none,True,True,32867.0,mean,False,False,,,,
body_mass,within,sage_inductive_results,8,9,inductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_inductive_results.json,0.1719385842228581,0.30759257673960805,graphsage,"(128, 64)",0.5509664926730731,True,0.0031998049796047733,2.1174790782414427e-06,44.0,mse,adam,cutoff,0.6549321882777057,gcn,True,False,,max,False,False,,,,
body_mass,within,sage_inductive_results,9,10,inductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_inductive_results.json,0.3472013547553777,0.29604572497846465,graphsage,"(512, 128)",0.23662082926390993,True,3.460272026080072e-05,5.879211756580576e-05,307.0,mse,adam,cutoff,0.5693211274521683,gcn,False,True,37198.0,mean,False,False,,,,
body_mass,within,sage_results,0,1,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.3838700764385503,0.28832115134996583,graphsage,"(512, 256)",0.24150876121280374,False,4.0770268874866224e-05,1.6884790724747503e-05,184.0,mse,adam,cutoff,0.522561163795182,none,False,True,55299.0,max,False,False,,,,
body_mass,within,sage_results,1,2,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.2572406232589873,0.3107020514662844,graphsage,"(128, 64)",0.4402294447338479,False,1.7296579300430808e-05,8.27760419414054e-07,171.0,mse,adam,cutoff,0.5740675559407559,cosine_then_gcn,True,True,38798.0,mean,False,False,,,,
body_mass,within,sage_results,2,3,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.20792569972260144,0.3033334111480429,graphsage,"(512, 64)",0.19811524409477724,False,1.2630678268209502e-05,3.6080889010268853e-06,252.0,mse,adam,cutoff,0.37141560180873184,none,True,True,44451.0,max,False,False,,,,
body_mass,within,sage_results,3,4,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.3200778079903153,0.3015473146121664,graphsage,"(512, 64)",0.14426408974951105,False,1.1993888324453044e-05,2.9607182065942083e-07,125.0,mse,adam,cutoff,0.4134737318035521,gcn,False,True,23714.0,max,False,False,,,,
body_mass,within,sage_results,4,5,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.29768282666308876,0.293433201334795,graphsage,"(512, 128)",0.5525219522338564,False,1.0203949302947283e-05,5.815130177978576e-06,158.0,mse,adam,knn,,,True,True,24533.0,mean,False,False,8.0,True,mutual,
body_mass,within,sage_results,5,6,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.2721419642034664,0.30385120725531234,graphsage,"(512, 128)",0.26419208962031376,False,1.7012710450291044e-05,2.821442467755367e-05,153.0,mse,adam,cutoff,0.5783424505990722,none,False,False,,mean,False,False,,,,
body_mass,within,sage_results,6,7,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.23638213609450798,0.30762353460187775,graphsage,"(512, 64)",0.21473471751194362,False,2.0323306244687407e-05,2.6680647145464233e-05,145.0,mse,adam,cutoff,0.37965749628045037,gcn,False,True,24607.0,max,False,False,,,,
body_mass,within,sage_results,7,8,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.178592519134363,0.30135334402070546,graphsage,"(512, 128)",0.12639428237045292,False,2.3858905811091662e-05,3.851890289931236e-06,64.0,mse,adam,cutoff,0.7141068770598304,gcn,False,True,22479.0,mean,False,False,,,,
body_mass,within,sage_results,8,9,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.13930341393829954,0.3108553635977116,graphsage,"(512, 128)",0.13368092170635665,False,1.401967762372116e-05,1.7896941445936962e-07,242.0,mse,adam,cutoff,0.4564554978117475,gcn,True,True,12452.0,max,False,False,,,,
body_mass,within,sage_results,9,10,transductive,kfold,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\within\sage_results.json,0.3142626534523701,0.305397681020213,graphsage,"(512, 256)",0.28325806442333495,False,3.691163683727225e-05,2.28831440309989e-06,167.0,mse,adam,cutoff,0.43258059442253066,gcn,False,True,33720.0,max,False,False,,,,
body_mass,loio,ens_sage_results,0,1,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.2286693919590041,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,1,2,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.45352806091621567,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,2,3,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.15869845702434546,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,3,4,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.21506814627785678,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,4,5,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.17339738716981962,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,5,6,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.13025849634884246,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,6,7,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.15410288910288272,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,7,8,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.005192809470653559,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,8,9,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.34139962550487174,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,9,10,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.11547346774191312,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,ens_sage_results,10,11,inductive_ensemble,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\ens_sage_results.json,0.14820225070407722,,,,,,,,,,,,,,,,,,,,,,,
body_mass,loio,gcn_inductive_results,0,1,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.18536741233623796,0.21942752328094026,gcn,"(512, 64)",0.11028133875321598,False,8.626097504365459e-05,1.1744971150673658e-06,157.0,mae,adam,cutoff,0.7222100741182207,cosine_then_gcn,True,False,,,,,,,,
body_mass,loio,gcn_inductive_results,1,2,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.38366221325085864,0.19718353174791886,gcn,"(512, 64)",0.4822854168992966,False,2.8928669380350575e-05,5.329155014976128e-07,164.0,mae,adam,cutoff,0.6507075377314184,cosine_then_gcn,False,False,,,,,,,,
body_mass,loio,gcn_inductive_results,2,3,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.167794984772024,0.2273817160517681,gcn,"(512, 128)",0.16034745963302202,False,0.00024165065369535253,2.502562441979379e-07,251.0,mse,adam,cutoff,0.861767181884435,none,False,False,,,,,,,,
body_mass,loio,gcn_inductive_results,3,4,inductive,leave_island_out,c:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\25H\Prosjekt\Project_thesis\outputs\nested_cv\body_mass\loio\gcn_inductive_results.json,0.1858077829894086,0.21606153794743924,gcn,"(512, 256)",0.4085108360407905,True,5.255977387208328e-05,1.1333558463861359e-05,206.0,mse,adam,cutoff,0.7751953442085204,gcn,True,False,,,,,,,,
