epoch,train_loss,val_rmse,val_mae,val_r2
1,1.642565369606018,2.105503798008703,1.6900866317036483,-2.059197197535849
2,1.6458790302276611,1.2093295673087738,0.926242398271925,-0.009217463315391417
3,1.374707818031311,1.74028387802504,1.426200085044857,-1.0899486144295887
4,1.3183865547180176,2.1263060601301866,1.7703674436505539,-2.1199452171951134
5,1.2944363355636597,1.9728695489018846,1.6304603876904307,-1.6859143130738068
6,1.264147400856018,1.6848912437466685,1.3739885441061286,-0.9590213136389614
7,1.2337242364883423,1.3794781406797516,1.1057115164015632,-0.31318242117004624
8,1.1824090480804443,1.2259086384881515,0.9531056637951847,-0.037078486343331774
9,1.17402184009552,1.191324514306374,0.9067148944286887,0.020610211807641
10,1.156374454498291,1.1936543440525995,0.9040104824617962,0.01677575249478669
11,1.1480220556259155,1.1996559619516893,0.9064484996534127,0.0068637188518373415
12,1.1362589597702026,1.2087967060649345,0.9147502642626167,-0.008328285693070647
13,1.0983614921569824,1.2195177283979246,0.9225306239193315,-0.02629367102075597
14,1.0915883779525757,1.2276811070818707,0.9289574249697037,-0.04007955486144743
15,1.0816148519515991,1.2212601156282095,0.9230196984604405,-0.02922840233667512
16,1.095406174659729,1.200260461683709,0.9074152112821577,0.005862595377328028
17,1.0585823059082031,1.1885952270924243,0.9003260687902634,0.025092574209057195
18,1.0465824604034424,1.1905485564099598,0.908296966009544,0.02188562876183786
19,1.0595555305480957,1.1992464736702162,0.9221432941849407,0.007541593633676902
20,1.0306395292282104,1.2032736088483469,0.9274132396943724,0.0008649430448072204
21,1.023062825202942,1.19724224798337,0.9188071809581303,0.010856089088372656
22,1.0211812257766724,1.1930657096366692,0.9121187386159513,0.017745240738714196
23,1.0225589275360107,1.188433352478722,0.9062075989587817,0.02535810113210002
24,1.0024195909500122,1.1855079422762047,0.902945825498294,0.03015049121938762
25,0.976586103439331,1.1871066029487887,0.9058782879929709,0.027533038206006832
26,0.9859838485717773,1.190292031027687,0.9118451165197923,0.022307088482983017
27,0.9843481183052063,1.192162225545478,0.9143033820244665,0.01923236004309703
28,0.98543781042099,1.1900569815094435,0.9121234174305106,0.022693184586604964
29,0.9776473641395569,1.1853566702981002,0.9063418811708532,0.030397982928532796
30,0.9580527544021606,1.1810137659646376,0.9027054670476663,0.037489814424406576
31,0.9415577054023743,1.1774744103740755,0.8999376484045567,0.043250223356748885
32,0.9227703213691711,1.1761027935078028,0.9013081821638562,0.04547792323036548
33,0.9186204075813293,1.1742041602005358,0.9018712058181664,0.04855728770553025
34,0.930462658405304,1.1745924862502535,0.9037823602623507,0.047927872315909226
35,0.9079577326774597,1.1725051727107079,0.9012774720164398,0.05130863172114908
36,0.9177482724189758,1.1708431923558533,0.8985856103853813,0.05399619164607383
37,0.9062598347663879,1.1708174530548294,0.8989728641829472,0.0540377842509725
38,0.8836301565170288,1.1772651092064896,0.907492813127527,0.043590325945859765
39,0.9097198247909546,1.1834819381612702,0.9155776041141781,0.03346255691929079
40,0.8840315937995911,1.192501655123043,0.9260263095452717,0.018673796904538298
41,0.8963953852653503,1.1883402665578604,0.9195530568748074,0.025510775887264803
42,0.87627112865448,1.1785860907309338,0.9072360324751096,0.0414427921154672
43,0.8775234818458557,1.1783401618389517,0.9074446271564557,0.041842783798631045
44,0.855646550655365,1.1820692741531051,0.9114813030863224,0.03576859592749648
45,0.863641083240509,1.1843502806251611,0.9124307116256535,0.03204370399505063
46,0.842948853969574,1.1770994510735913,0.9021288091138489,0.043859468201866036
47,0.8535361886024475,1.1669787788729797,0.8876860590290624,0.06023053100659714
48,0.8556666374206543,1.1648048267997642,0.8836925814643725,0.06372864231476572
49,0.8531509637832642,1.16554493831884,0.8867388624705531,0.06253845946537429
50,0.8415621519088745,1.16860987924378,0.8924838209529096,0.05760164073980434
51,0.8225134611129761,1.1728164957664604,0.8978013926090519,0.05080477261136007
52,0.8447791934013367,1.1771250910467401,0.9036066943027131,0.04381781380377592
53,0.8336315751075745,1.1773038220696554,0.906003783951294,0.04352742428451206
54,0.8210627436637878,1.1679895141336858,0.8954344685997873,0.058601933300113096
55,0.8089063763618469,1.1632753157487485,0.8893876940652428,0.0661858731703896
56,0.7987282872200012,1.1627155768296995,0.8884863858218304,0.0670843128599451
57,0.8040263056755066,1.1666262033363326,0.8940594061890529,0.060798304264434
58,0.7982146739959717,1.1645769756863826,0.8905902451358761,0.06409490042298738
59,0.7993003726005554,1.1619773273093816,0.8824496401536942,0.06826861953713392
60,0.7972704172134399,1.162448744594967,0.8810707500658955,0.06751245439138898
61,0.7905954122543335,1.1622314417171877,0.8837114664908088,0.06786105176141999
62,0.7809852957725525,1.16406723322799,0.8879246035373292,0.06491402387791967
63,0.7794034481048584,1.167187753385971,0.8884539986699076,0.05989392599791121
64,0.7839505672454834,1.1675271101462563,0.890449844463959,0.05934717980487714
65,0.7726525664329529,1.1692370928383478,0.8950371318897451,0.05658976552664341
66,0.7543120980262756,1.1714519344758434,0.8982539657967664,0.05301224764622969
67,0.7593057751655579,1.1683678680824308,0.8919421955813708,0.05799192890946647
68,0.7589156627655029,1.1697818585079331,0.8927099978366413,0.05571046185598938
69,0.7738932967185974,1.172574259869864,0.8987211859516983,0.05119682953205351
70,0.7727038264274597,1.1715704745289353,0.8984213992432452,0.052820585223267824
71,0.7541376352310181,1.1707064962451976,0.8975731150334685,0.054217070912122356
72,0.7631087899208069,1.1696593174260852,0.8947701479281662,0.05590829053641866
73,0.7485802173614502,1.1762019024742483,0.9038211349692568,0.045317043274984314
74,0.7415689826011658,1.192572860468083,0.9189341139904085,0.018556601667521044
75,0.7450305223464966,1.1777735294923997,0.9013483935736564,0.04276406671980859
76,0.7492496371269226,1.1782781157885411,0.8984632503726266,0.04194368557162109
77,0.7021404504776001,1.1790221572344302,0.9029387991498092,0.04073334539704143
78,0.7527961730957031,1.1889259319514773,0.9124402681500438,0.024549998456848465
79,0.7216799855232239,1.1781150396906068,0.9019159350656208,0.04220886112154987
